Page number (if paper obtained through Google Scholar search),Who analyzed (if paper useful)? (If there's a 6-digit number: Date of entering paper into database),Link,Paper Name,"Author Last Name, Year of Publication","Usefulness (See ""Usefulness"" filter legend for the values to fill in this column)",Species (& strain info),"Ploidy (Haploid, Diploid, Polyploid)",No. pops,No. gens,No. muts,"Envir (Medium, Nutrients, Temp)",Supp Info Provided?,Additional cmts,"Screen (See ""Screen legend"")","Paper ID (obtained through sorting ""Author, Year ""A-Z once all the papers have been logged into this sheet)"
,191106,https://doi-org.uml.idm.oclc.org/10.1038%2F42701,Evolution of high mutation rates in experimental populations of Escherichia coli,"Sniegowski, 1997",5,E. coli,,,,,,,"
_ 191108: Scanned for duplicate & wrong species.
_ Not WGS.
_ 191108: Screened.",RL,425
,191106,https://doi-org.uml.idm.oclc.org/10.1038%2Fismej.2010.72,Shifts in the host range of a promiscuous plasmid through parallel evolution of its replication initiation protein,"Sota, 2010",5,Various bacteria & plasmids,,,,,,,"_ Not genomic.
_ 191108: Scanned for duplicate & wrong species.",RL,428
,191106,https://doi-org.uml.idm.oclc.org/10.1111%2Fj.1558-5646.2011.01547.x,Evolutionary perspectives in a mutualism of sepiolid squid and bioluminescent bacteria: combined usage of microbial experimental evolution and temporal population genetics,"Soto, 2012",5,V. fischeri & Euprymna ,,,,,,,"_ Incorrect species.
_ 191108: Scanned for duplicate & wrong species.",RL,429
,191106,https://doi-org.uml.idm.oclc.org/10.1073%2Fpnas.1207025110,Tangled bank of experimentally evolved Burkholderia biofilms reflects selection during chronic infections,"Traverse, 2013",5,Burkhoideria,,,,,,,"_ Incorrect species.
_ 191108: Scanned for duplicate & wrong species.",RL,462
,191106,https://doi-org.uml.idm.oclc.org/10.1371%2Fjournal.pone.0142050,Replaying evolution to test the cause of extinction of one ecotype in an experimentally evolved population,"Turner, 2015",5,,,,,,,,"_ No WGS.
_ 191108: Screened.",RL,467
,191106,https://www.researchgate.net/profile/Michael_Travisano/publication/277544657_Long-Term_Experimental_Evolution_in_Escherichia_coli_II_Changes_in_Life-History_Traits_During_Adaptation_to_a_Seasonal_Environment/links/56bc0df608ae47fa3956c90e/Long-Term-Experimental-Evolution-in-Escherichia-coli-II-Changes-in-Life-History-Traits-During-Adaptation-to-a-Seasonal-Environment.pdf,Long-term experimental evolution in Escherichia coli. II. Changes in life-history traits during adaptation to a seasonal environment,"Vasi, 1994",5,E. coli,,,,,,,"_ No WGS.
_ 191108: Screened.",RL,473
,191106,https://doi-org.uml.idm.oclc.org/10.1073%2Fpnas.0510740103,Comprehensive mutation identification in an evolved bacterial cooperator and its cheating ancestor,"Velicer, 2006",5,,,,,,,,"_ No WGS.
_ 191108: Screened.",RL,474
,191106,https://doi-org.uml.idm.oclc.org/10.1126%2Fscience.285.5426.422,Different trajectories of parallel evolution during viral adaptation,"Wichman, 1999",5,,,,,,,,"_ No WGS.
_ 191108: Screened.",RL,492
,191106,https://doi-org.uml.idm.oclc.org/10.1098%2Frstb.2000.0731,Experimental evolution recapitulates natural evolution,"Wichman, 2000",5,,,,,,,,"_ No WGS.
_ 191108: Screened.",RL,493
,191106,https://doi-org.uml.idm.oclc.org/10.1073%2Fpnas.1219574110,Mutation rate dynamics in a bacterial population reflect tension between adaptation and genetic load,"Wielgoss, 2013",5,,,,,,,,"_ < 3 pop.
_ 191108: Screened.",RL,495
,191106,https://doi-org.uml.idm.oclc.org/10.1186%2F1471-2148-3-3,Compensatory mutations cause excess of antagonistic epistasis in RNA secondary structure folding,"Wilke, 2003",5,,,,,,,,"_ Incorrect species.
_ 191108: Screened.",RL,496
,191106,https://doi-org.uml.idm.oclc.org/10.1126%2Fscience.1243357,Long-term dynamics of adaptation in asexual populations,"Wiser, 2013",5,,,,,,,,"_ No WGS.
_ 191108: Screened.",RL,497
,191106,https://doi-org.uml.idm.oclc.org/10.1073%2Fpnas.0602917103,Tests of parallel molecular evolution in a long-term experiment with Escherichia coli,"Woods, 2006",5,E. coli,,,,,,,"_ No WGS.
_ 191108: Screened.",RL,502
,191106,https://doi-org.uml.idm.oclc.org/10.1126%2Fscience.1198914,Second-order selection for evolvability in a large Escherichia coli population,"Woods, 2011",5,E. coli,,,,,,,"_ < 3 pop.
_ 191108: Screened.",RL,503
,191106,https://doi-org.uml.idm.oclc.org/10.1126%2Fscience.7681219,Microbial competition: Escherichia coli mutants that take over stationary phase cultures,"Zambrano, 1993",5,E. coli,,,,,,,"_ No WGS.
_ 191108: Screened.",RL,508
,191104,https://microbialcellfactories.biomedcentral.com/articles/10.1186/1475-2859-11-1,Laboratory evolution of copper tolerant yeast strains,"Adamo, 2012",5,S. cerevisiae,,,,,,,"
_ 191108: Scanned for duplicate & wrong species.
_ Not WGS.
_ 191108: Screened.",MD,1
,,https://academic-oup-com.uml.idm.oclc.org/mutage/article/19/5/349/1240431,Divergent adaptation of Escherichia coli to cyclic ultraviolet light exposures,"Alcántara-Díaz, 2004",5,E. coli,haploid,,,,,,No WGS,MD,3
,191104,https://www.researchgate.net/profile/Luis_Reyes13/publication/236277098_Evolutionary_Engineering_of_Saccharomyces_cerevisiae_for_Enhanced_Tolerance_to_Hydrolysates_of_Lignocellulosic_Biomass/links/5aaa9d0ea6fdccd3b9bbec37/Evolutionary-Engineering-of-Saccharomyces-cerevisiae-for-Enhanced-Tolerance-to-Hydrolysates-of-Lignocellulosic-Biomass.pdf,Evolutionary engineering of Saccharomyces cerevisiae for enhanced tolerance to hydrolysates of lignocellulosic biomass,"Almario, 2013",5,S. cerevisiae,,,,,,,"
_ 191108: Scanned for duplicate & wrong species.
_ Not WGS.
_ 191108: Screened.",MD,7
,191104,https://bmcgenomics.biomedcentral.com/articles/10.1186/1471-2164-11-88,Whole-genome sequencing of a laboratory-evolved yeast strain,"Araya, 2010",5,S. cerevisiae,,,,,,,"_ 191106: Scanned for duplicate & wrong species.
_ < 3 pops.
_ 191108: Screened.",MD,15
,,http://msb.embopress.org/content/6/1/449.short,"Evolution, genomic analysis, and reconstruction of isobutanol tolerance in Escherichia coli","Atsumi, 2010",5,E.coli,,,45 transfers,,LB medium 4 – 8 g L-1isobutanol,,,MD,19
,191104,https://academic.oup.com/femsyr/article/12/5/521/495657,Turbidostat culture of Saccharomyces cerevisiae W303-1A under selective pressure elicited by ethanol selects for mutations in SSD1 and UTH1,"Avrahami-Moyal, 2012",5,S. cerevisiae,,,,,,,"_ 191106: Scanned for duplicate & wrong species.
_ < 3 pop.
_ 191108: Screened.",MD,20
,,https://genome.cshlp.org/content/22/1/115.full.pdf,Microbial domestication signatures of Lactococcus lactis can be reproduced by experimental evolution,"Bachmann, 2012",5,L. lactis,,,,,,,Incorrect species,MD,22
,,https://aem-asm-org.uml.idm.oclc.org/content/aem/78/1/144.full.pdf,Experimental Evolution of a Facultative Thermophile from a Mesophilic Ancestor,"Blaby, 2012",5,E. coli K-12 (MG1655),haploid ,1,234 days,,"LB medium, temp stress (up to 48°C)",,,MD,49
,191104,https://www-sciencedirect-com.uml.idm.oclc.org/science/article/pii/S1096717611000097,Evolutionary engineered Saccharomyces cerevisiae wine yeast strains with increased in vivo flux through the pentose phosphate pathway,"Cadière, 2011",5,S. cerevisiae,,,,,,,"_ 191106: Scanned for duplicate & wrong species.
_ < 3 pops.
_ 191108: Screened.",MD,63
,191104,https://www-sciencedirect-com.uml.idm.oclc.org/science/article/pii/S0740002012001566,"Pilot-scale evaluation the enological traits of a novel, aromatic wine yeast strain obtained by adaptive evolution","Cadière, 2012",5,S. cerevisiae,,,,,,,"_ 191106: Scanned for duplicate & wrong species.
_ < 3 pops.
_ 191108: Screened.",MD,64
,191104,https://academic-oup-com.uml.idm.oclc.org/femsyr/article/5/6-7/569/528311,Evolutionary engineering of multiple-stress resistant Saccharomyces cerevisiae,"Cakar, 2005",5,S. cerevisiae,,,,,,,"_ 191106: Scanned for duplicate & wrong species.
_ < 3 pops.
_ 191108: Screened.",MD,65
,191104,https://www-sciencedirect-com.uml.idm.oclc.org/science/article/pii/S0168165609002740,Isolation of cobalt hyper-resistant mutants of Saccharomyces cerevisiae by in vivo evolutionary engineering approach,"Cakar, 2009",5,S. cerevisiae,,,,,,,"_ 191106: Scanned for duplicate & wrong species.
_ No WGS.
_ 191108: Screened.",MD,66
,,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0033727,Exploiting adaptive laboratory evolution of Streptomyces clavuligerus for antibiotic discovery and overproduction,"Charusanti, 2012",5,S. clavuligerus,,,,,,,"_ Incorrect species.
_ 191106: Scanned for duplicate & wrong species.
",MD,72
,,https://www-pnas-org.uml.idm.oclc.org/content/pnas/107/47/20500.full.pdf,RNA polymerase mutants found through adaptive evolution reprogram Escherichia coli for optimal growth in minimal media,"Conrad, 2010",5,E. coli,haploid,,,,,,No WGS,MD,83
,,https://www-pnas-org.uml.idm.oclc.org/content/100/3/1072.long,"Parallel changes in gene expression after 20,000 generations of evolution in Escherichia coli","Cooper, 2003",5,,,,,,,,No WGS,MD,87
,191104,https://academic-oup-com.uml.idm.oclc.org/femsyr/article/12/3/359/592891,Laboratory evolution of new lactate transporter genes in a jen1Δ mutant of S. cerevisiae and their identification as ADY2 alleles by whole-genome resequencing and transcriptome analysis,"de Kok, 2012",5,S. cerevisiae ,,,,,,,"_ 191106: Scanned for duplicate & wrong species.
_ < 3 pops.
_ 191108: Screened.",MD,97
,,http://www.weizmann.ac.il/mcb/UriAlon/sites/mcb.UriAlon/files/dekel-optimality.pdf,Optimality and evolutionary tuning of the expression level of a protein,"Dekel, 2005",5,E. coli,haploid,,,,,,No WGS,MD,107
,,http://www.jbc.org.uml.idm.oclc.org/content/286/46/39958.full.pdf,Laboratory evolution and multi-platform genome re-sequencing of the cellulolytic actinobacterium Thermobifida fusca,"Deng, 2011",5,T. fusca,haploid,,,,,,Incorrect species,MD,109
,191104,https://onlinelibrary-wiley-com.uml.idm.oclc.org/doi/pdf/10.1111/j.1420-9101.2011.02249.x,Adaptation of Saccharomyces cerevisiae to saline stress through laboratory evolution,"Dhar, 2011",5,S. cerevisiae,,,,,,,"_ 191106: Scanned for duplicate & wrong species.
_ No WGS.
_ 191108: Screened.",MD,111
,191104,https://academic-oup-com.uml.idm.oclc.org/mbe/article/30/3/573/1037251,Yeast adapts to a changing stressful environment by evolving cross-protection and anticipatory gene regulation,"Dhar, 2013",5,S. cerevisiae,,,,,,,"_ 191106: Scanned for duplicate & wrong species.
_ No WGS.
_ 191108: Screened.",MD,112
,,http://msb.embopress.org/content/9/1/643.short,"Evolutionary potential, cross‐stress behavior and the genetic basis of acquired stress resistance in Escherichia coli","Dragosits, 2013",5,E. coliMG1655,haploid,,500 generations,,"Control (just M9), osmotic (NaCl), acidic (pH 5.5), oxidative (H2O2), & n-butanol.",,,MD,119
,191104,https://www-pnas-org.uml.idm.oclc.org/content/99/25/16144,Characteristic genome rearrangements in experimental evolution of Saccharomyces cerevisiae,"Dunham, 2002",5,S. cerevisiae,,,,,,,"_ 191106: Scanned for duplicate & wrong species.
_ No WGS.
_ 191108: Screened.",MD,121
,191104,https://www-pnas-org.uml.idm.oclc.org/content/96/17/9721.short,Systematic changes in gene expression patterns following adaptive evolution in yeast,"Ferea, 1999",5,S. cerevisiae,,,,,,,No WGS,MD,135
,,https://genome.cshlp.org/content/15/10/1365.full.pdf,Parallel adaptive evolution cultures of Escherichia coli lead to convergent growth phenotypes with different gene expression states,"Fong, 2005",5,E. coli,haploid,,,,,,No WGS,MD,140
,191104,https://biotechnologyforbiofuels.biomedcentral.com/articles/10.1186/1754-6834-3-13,Improved xylose and arabinose utilization by an industrial recombinant Saccharomyces cerevisiae strain using evolutionary engineering,"Garcia Sanchez, 2010",5,S. cerevisiae,,,,,,,"_ 191106: Scanned for duplicate & wrong species.
_ No WGS.
_ 191108: Screened.",MD,144
,,https://www.embopress.org/doi/full/10.1038/msb.2010.33,Regulatory and metabolic rewiring during laboratory evolution of ethanol tolerance in Escherichia coli,"Goodarzi, 2010",5,E. coli,,,,,,,"_ 191106: Scanned for duplicate & wrong species.
_ < 3 pops.
_ 191108: Screened.",MD,161
,191104,https://bmcevolbiol.biomedcentral.com/articles/10.1186/1471-2148-12-43,Sex enhances adaptation by unlinking beneficial from detrimental mutations in experimental yeast populations,"Gray, 2012",5,S. cerevisiae,,,,,,,"_ 191106: Scanned for duplicate & wrong species.
_ No WGS.
_ 191108: Screened.",MD,165
,191104,https://bmcgenomics.biomedcentral.com/articles/10.1186/1471-2164-11-579,Transcriptome analysis of parallel-evolved Escherichia coli strains under ethanol stress,"Horinouchi, 2010",5,E. coli,,,,,,,"_ 191107: Scanned for duplicate & wrong species.
_ No WGS.
_ 191108: Screened.",MD,190
,,https://aem-asm-org.uml.idm.oclc.org/content/aem/73/14/4639.full.pdf,Metabolic characterization of Escherichia coli strains adapted to growth on lactate,"Hua, 2007",5,E. coli,haploid,,,,,,No WGS,MD,194
,,https://www-nature-com.uml.idm.oclc.org/articles/nature01149#Sec1,Escherichia coli K-12 undergoes adaptive evolution to achieve in silico predicted optimal growth,"Ibarra, 2002",5,E. coli,haploid,,,,,,No WGS,MD,199
,191104,https://aem.asm.org/content/aem/70/4/1956.full.pdf,Prolonged maltose-limited cultivation of Saccharomyces cerevisiae selects for cells with improved maltose affinity and hypersensitivity,"Jansen, 2004",5,S. cerevisiae,,,,,,,"_ 191107: Scanned for duplicate & wrong species.
_ No WGS.
_ 191108: Screened.",MD,203
,191104,https://www.microbiologyresearch.org/docserver/fulltext/micro/151/5/1657.pdf?expires=1572895477&id=id&accname=guest&checksum=F8D4085847B40AE5D206F9DF9652BACE,"Prolonged selection in aerobic, glucose-limited chemostat cultures of Saccharomyces cerevisiae causes a partial loss of glycolytic capacity","Jansen, 2005",5,S. cerevisiae,,,,,,,"_ 191107: Scanned for duplicate & wrong species.
_ No WGS.
_ 191108: Screened.",MD,204
,,https://onlinelibrary-wiley-com.uml.idm.oclc.org/doi/full/10.1002/bit.23346,Adaptive evolution for fast growth on glucose and the effects on the regulation of glucose transport system in Clostridium tyrobutyricum,"Jiang, 2012",5,C. tyrobutyricum,,,,,,,Incorrect species,MD,209
,191104,https://academic.oup.com/femsyr/article/5/10/925/639753,Evolutionary engineering of mixed-sugar utilization by a xylose-fermenting Saccharomyces cerevisiae strain,"Kuyper, 2005",5,S. cerevisiae,,,,,,,"_ 191107: Scanned for duplicate & wrong species.
_ No WGS.
_ 191108: Screened.",MD,243
,,https://aem-asm-org.uml.idm.oclc.org/content/aem/76/13/4158.full.pdf,"Adaptive Evolution of Escherichia coli K-12 MG1655 during Growth on a Nonnative Carbon Source, L-1,2-Propanediol","Lee, 2010",5,E. coli K-12 MG1655,haploid,,700 generation,,"M9 minimal glycerol + 1,2 propanediol",,,MD,256
,,https://www-sciencedirect-com.uml.idm.oclc.org/science/article/pii/S0960852412004270,Combining metabolic engineering and adaptive evolution to enhance the production of dihydroxyacetone from glycerol by Gluconobacter oxydans in a low-cost way,"Lu, 2012",5,G. oxydans,,,,,,,"_ Incorrect species.
_ 191107: Scanned for duplicate & wrong species.",MD,283
,,https://microbialcellfactories.biomedcentral.com/articles/10.1186/1475-2859-10-18,Evolution combined with genomic study elucidates genetic bases of isobutanol tolerance in Escherichia coli,"Minty, 2011",5,E. coli K-12 MG1655 (EcNR1),haploid,6,500 generations,,"3 pops on NG50 (M9 salts, 50g/L glu, & 0.25 mg/L biotin, isobutanol (initial conc. 0.75% (w/v)), 3 on NX50 (xylose instead of glu). Stressor: glu/xyl, isobutanol.","Inspected manually to detect breakpoints, then confirmed by Sanger seq.",,MD,309
,,https://sfamjournals-onlinelibrary-wiley-com.uml.idm.oclc.org/doi/full/10.1046/j.1462-2920.1999.00003.x,The generation of multiple co-existing mal-regulatory mutations through polygenic evolution in glucose-limited populations of Escherichia coli,"Notley-McRobb, 1999",5,E. coli,haploid,,,,,,No WGS,MD,325
,,https://journals.plos.org/plosgenetics/article?id=10.1371/journal.pgen.1002444,Adaptive Evolution of the Lactose Utilization Network in Experimentally Evolved Populations of Escherichia coli,"Quan, 2012",5,E. coli REL606,haploid,,2000 generations,,"DM minimal medium, lactose",,,MD,355
,191104,https://www-sciencedirect-com.uml.idm.oclc.org/science/article/pii/S0092867408011963,Aneuploidy Underlies Rapid Adaptive Evolution of Yeast Cells Deprived of a Conserved Cytokinesis Motor,"Rancati, 2008",5,S. cerevisiae,,,,,,,"_ 191107: Scanned for duplicate & wrong species.
_ No WGS.
_ 191108: Screened.",MD,367
,,https://www-sciencedirect-com.uml.idm.oclc.org/science/article/pii/S1096717612000511,Visualizing evolution in real time to determine the molecular mechanisms of n-butanol tolerance in Escherichia coli,"Reyes, 2012",5,E. coli K-12 (BW25113),haploid,2,> 200 generations,,"M9, glucose, chemostat, n-butanol",,,MD,378
,,https://www-physiology-org.uml.idm.oclc.org/doi/full/10.1152/physiolgenomics.00034.2002,Evolutionary changes in heat-inducible gene expression in lines of Escherichia coli adapted to high temperature,"Riehle, 2003",5,E. coli,haploid,,,,,,No WGS,MD,379
,,http://www.jbc.org.uml.idm.oclc.org/content/285/25/19029.full.pdf,Evolution of Escherichia coli for growth at high temperatures,"Rudolph, 2010",5,E. coli,,,,,,,"
_ 191107: Scanned for duplicate & wrong species.
_ No WGS.
_ 191108: Screened.",MD,386
,191104,https://academic-oup-com.uml.idm.oclc.org/femsyr/article/12/5/582/496128,Evolutionary engineering of Saccharomyces cerevisiae for efficient aerobic xylose consumption,"Scalcinati, 2012",5,S. cerevisiae,,,,,,,"
_ 191107: Scanned for duplicate & wrong species.
_ < 3 pops.
_ 191108: Screened.",MD,403
,191104,https://journals.plos.org/plosgenetics/article?id=10.1371/journal.pgen.1000705,Acquisition of aneuploidy provides increased fitness during the evolution of antifungal drug resistance,"Selmecki, 2009",5,,,,,,,,"
_ No WGS.
_ 191108: Scanned for duplicate & wrong species.",MD,412
,,https://link-springer-com.uml.idm.oclc.org/article/10.1007/s10482-011-9557-2,In vivo evolutionary engineering of a boron-resistant bacterium: Bacillus boroniphilus,"Sen, 2011",5,B. boroniphilus,,,,,,,"_ Incorrect species.
_ 191108: Scanned for duplicate & wrong species.",MD,413
,191104,https://link-springer-com.uml.idm.oclc.org/article/10.1007/s00253-012-4418-0,An efficient xylose-fermenting recombinant Saccharomyces cerevisiae strain obtained through adaptive evolution and its global transcription profile,"Shen, 2012",5,S. cerevisiae,,,,,,,"
_ 191107: Scanned for duplicate & wrong species.
_ < 3 pops.
_ 191108: Screened.",MD,417
,,https://www.researchgate.net/profile/Richard_Lenski/publication/6324791_Evolutionary_Adaptation_to_Freeze-Thaw-Growth_Cycles_in_Escherichia_coli/links/09e41511445fe8bb19000000/Evolutionary-Adaptation-to-Freeze-Thaw-Growth-Cycles-in-Escherichia-coli.pdf,Evolutionary adaptation to freeze-thaw-growth cycles in Escherichia coli,"Sleight, 2007",5,E. coli,,,,,,,"
_ 191108: Scanned for duplicate & wrong species.
_ Not WGS.
_ 191108: Screened.",MD,423
,,https://www-genetics-org.uml.idm.oclc.org/content/180/1/431,"Genetic Basis of Evolutionary Adaptation by Escherichia coli to Stressful Cycles of Freezing, Thawing and Growth","Sleight, 2008",5,E.coli,,,150 cycles,,Freeze-thaw,,,MD,424
,191104,https://aem.asm.org/content/aem/69/4/1990.full.pdf,Evolutionary engineering of Saccharomyces cerevisiae for anaerobic growth on xylose,"Sonderegger, 2003",5,S. cerevisiae,,,,,,,"
_ 191108: Scanned for duplicate & wrong species.
_ Not WGS.
_ 191108: Screened.",MD,426
,,https://journals.plos.org/plosgenetics/article?id=10.1371/journal.pgen.1000671,Compensatory evolution of gene regulation in response to stress by Escherichia coli lacking RpoS,"Stoebel, 2009",5,E. coli,,,,,,,"
_ 191108: Scanned for duplicate & wrong species.",MD,437
,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3329115/,Laboratory evolution of Geobacter sulfurreducens for enhanced growth on lactate via a single-base-pair substitution in a transcriptional regulator,"Summers, 2012",5,G. sulfurreducens,,,,,,,Incorrect species,MD,439
,191104,https://aem.asm.org/content/aem/70/1/159.full.pdf,"Directed evolution of pyruvate decarboxylase-negative Saccharomyces cerevisiae, yielding a C2-independent, glucose-tolerant, and pyruvate-hyperproducing yeast","Van Maris, 2004",5,S. cerevisiae,,,,,,,"_ No WGS.
_ 191108: Screened.",MD,472
,,https://www-microbiologyresearch-org.uml.idm.oclc.org/docserver/fulltext/micro/143/5/mic-143-5-1567.pdf?expires=1572293748&id=id&accname=guest&checksum=B9672C45E05F7496CA322AE176042BBE,"Use of a glycerol-limited, long-term chemostat for isolation of Escherichia coli mutants with improved physiological properties","Weikert, 1997",5,E. coli,haploid,,,,,,No WGS,MD,486
,191104,https://aem.asm.org/content/aem/73/15/4881.full.pdf,Engineering of Saccharomyces cerevisiae for efficient anaerobic alcoholic fermentation of L-arabinose,"Wisselink, 2007",5,S. cerevisiae,,,,,,,"_ < 3 pop.
_ 191108: Screened.",MD,498
,191104,https://aem.asm.org/content/aem/75/4/907.full.pdf,"Novel evolutionary engineering approach for accelerated utilization of glucose, xylose, and arabinose mixtures by engineered Saccharomyces cerevisiae strains","Wisselink, 2009",5,S. cerevisiae,,,,,,,"_ < 3 pop.
_ 191108: Screened.",MD,499
,191104,https://www.sciencedirect.com/science/article/pii/S1096717610000807,"Metabolome, transcriptome and metabolic flux analysis of arabinose fermentation by engineered Saccharomyces cerevisiae","Wisselink, 2010",5,S. cerevisiae,,,,,,,"_ < 3 pop.
_ 191108: Screened.",MD,500
,191104,https://aem-asm-org.uml.idm.oclc.org/content/aem/76/16/5383.full.pdf,Phosphoenolpyruvate carboxykinase as the sole anaplerotic enzyme in Saccharomyces cerevisiae,"Zelle, 2010",5,S. cerevisiae,,,,,,,"_ < 3 pop.
_ 191108: Screened.",MD,510
,191104,https://aem-asm-org.uml.idm.oclc.org/content/aem/77/3/732.full.pdf,Anaplerotic role for cytosolic malic enzyme in engineered Saccharomyces cerevisiae strains,"Zelle, 2011",5,S. cerevisiae,,,,,,,"_ < 3 pop.
_ 191108: Screened.",MD,511
,,https://microbialcellfactories.biomedcentral.com/articles/10.1186/1475-2859-12-57#Sec8,Homofermentative production of optically pure L-lactic acid from xylose by genetically engineered Escherichia coli B,"Zhao, 2013",5,E. coli,haploid,,,,,,No WGS,MD,515
,191104,https://www.sciencedirect.com/science/article/pii/S1096717612000821,Xylose isomerase overexpression along with engineering of the pentose phosphate pathway and evolutionary engineering enable rapid xylose utilization and ethanol production by Saccharomyces cerevisiae,"Zhou, 2012",5,S. cerevisiae,,,,,,,"_ < 3 pop.
_ 191108: Screened.",MD,516
,,https://www-nature-com.uml.idm.oclc.org/articles/nature08480,Genome evolution and adaptation in a long-term experiment with Escherichia coli,"Barrick, 2009",5,E. coli,haploid,,,,,,_ < 3 pops.,JB,29
,,https://jb-asm-org.uml.idm.oclc.org/content/183/9/2834,Mechanisms causing rapid and parallel losses of ribose catabolism in evolving populations of Escherichia coli B,"Cooper, 2001",5,E. coli,haploid,,,,,,No WGS,JB,85
,,https://www-nature-com.uml.idm.oclc.org/articles/nchembio.1450,Bacteriophages use an expanded genetic code on evolutionary paths to higher fitness,"Hammerling, 2014",5,Bacteriophage T7,,,,,,,Wrong species,JB,176
,,https://www-nature-com.uml.idm.oclc.org/articles/ng.997,Parallel bacterial evolution within multiple patients identifies candidate pathogenicity genes,"Lieberman, 2011",5,B. dolosa,,,,,,,,JB,273
,,https://genomebiology.biomedcentral.com/articles/10.1186/gb-2012-13-6-r41,The multiplicity of divergence mechanisms in a single evolving population,"Maharjan, 2012",5,E. coli,,,,,,,"_ < 3 pops.
_ 191108: Screened.",JB,285
,,https://www-pnas-org.uml.idm.oclc.org/content/110/3/E250,Tangled bank of experimentally evolved Burkholderia biofilms reflects selection during chronic infections,"Traverse, 2013",5,B. cenocepacia,haploid,,,,,,Wrong species.,JB,463
4,,https://www.mdpi.com/2073-4425/10/1/63,Genomic and Transcriptomic Changes That Mediate Increased Platinum Resistance in Cupriavidus metallidurans,"Ali, 2019",5,Cupriavidus metallidurans,,,,,,,,B6,5
1,,https://www.biorxiv.org/content/biorxiv/early/2019/05/17/639039.full.pdf,Genome replication dynamics of a bacteriophage and its satellite reveal strategies for parasitism and viral restriction,"Barth, 2019",5,Vibrio cholerae,,,,,,,,B6,33
2,,https://www.biorxiv.org/content/biorxiv/early/2019/04/12/600809.full.pdf,Destabilization of the Tumor-Inducing Plasmid from an Octopine-Type Agrobacterium tumefaciens Lineage Drives a Large Deletion in the Co-Resident At Megaplasmid,"Barton, 2019",5,Agrobacterium tumefaciens,,,,,,,,B6,34
3,,https://academic.oup.com/gbe/article/11/3/814/5315514,Evolutionary Changes after Translational Challenges Imposed by Horizontal Gene Transfer,"Bedhomme, 2019",5,E. coli,,"3 founders, 6 replicates each",1000,,"For each founder: 3 reps had 25 μg/mL chloramphenicol, 3 had 20 μg/mL ampicillin. Stressors: Chloroamphenicol, ampicillin.

",Table S1,,B6,42
3,,https://lib.dr.iastate.edu/cgi/viewcontent.cgi?article=7773&context=etd#page=26,"Methods for analysis of derivative strains from
metabolic evolution experiments","Boggess, 2018",5,E. coli,,,,,,,,B6,54
1,,https://www.biorxiv.org/content/biorxiv/early/2019/04/24/616128.full.pdf,A bifunctional ATPase drives tad pilus extension and retraction,"Ellison, 2019",5,Caulobacter crescentus,,,,,,,,B6,129
2,,https://www.biorxiv.org/content/10.1101/560037v2.full,Lytic bacteriophage have diverse indirect effects in a synthetic cross-feeding community,"Fazzino, 2019",5,E. coli,,,,,,,,B6,134
3,,https://jb.asm.org/content/201/8/e00538-18.abstract,Mechanisms of resistance to the contact-dependent bacteriocin CdzC/D in Caulobacter crescentus,"Garcia-Bayona, 2019",5,Caulobacter crescentus,,,,,,,,B6,145
2,,http://msb.embopress.org/content/msb/15/4/e8462.full.pdf,Enzyme promiscuity shapes adaptation to novel growth substrates,"Guzman, 2019",5,E. coli K-12 MG1655,,,,,,,,B6,173
2,,https://msphere-asm-org.uml.idm.oclc.org/content/msph/4/2/e00627-18.full.pdf,Loss and Gain in the Evolution of the Salmonella enterica Serovar Gallinarum Biovar Pullorum Genome,"Hu, 2019",5,S. Pullorum,,,,,,,,B6,193
5,,https://scholarsbank.uoregon.edu/xmlui/bitstream/handle/1794/24024/Final%20Thesis-Klein.pdf?sequence=1&isAllowed=y,Experimental Evolution of a Bacterial Symbiont to its Host Environment,"Klein, 2018",5,Aeromonas veronii,,,,,,,,B6,234
1,,https://www.biorxiv.org/content/biorxiv/early/2019/06/06/662882.full.pdf,Acid and Iron Experimental Evolution of Halobacterium sp. NRC-1,"Kunka, 2019",5,Halobacterium sp. NRC-1,,,,,,,,B6,240
1,,https://onlinelibrary-wiley-com.uml.idm.oclc.org/doi/abs/10.1002/bit.27004,Parallel experimental evolution reveals a novel repressive control of GalP on xylose fermentation in Escherichia coli,"Kurgan, 2019",5,E. coli ATCC,haploid,2,~ 60 generations,,AM1 medium (pH 7.0) supplemented w/ 10% xylose (w/v) and 100 mM potassium bicarbonate. Stressor: Xylose.,,,B6,241
2,,https://repositories.lib.utexas.edu/handle/2152/74215,Directed evolution of antimutator Escherichia coli,"Leon, 2018",5,E. coli BW25113,,[5],[~ 350],,,,,B6,264
