Page Number of Search (B2),Who analyzed (if paper useful)?,Link,Paper Name,"Author, Year of Publication","Usefulness (1=useful, 2=promising, 3=unpromising)",Species (& strain info),"Ploidy (Haploid, Diploid, Polyploid)",No. pops,No. gens,No. total muts,No. muts,"Envir (Medium, Nutrients, Temp)",Supp Info Provided?,Additional cmts,"Screen (See ""Screen legend"")"
6,,https://aem.asm.org/content/83/2/e02736-16.short,Benzoate- and Salicylate-Tolerant Strains of E. coli K-12 Lose Antibiotic Resistance during Laboratory Evolution,"Creamer, 2016",3 - SPANISH website,E. coli,haploid,,2000,100,,,,,B2
19,,https://researchspace.auckland.ac.nz/handle/2292/32019,"Small change? : adaptation and its costs, in experimental evolution",,"3 - Frequencies for mutations specific to HK578 resistance are given, raw material reads available.",S. cerevisiae,,,,,,,,,B2
,,https://journals.plos.org/plosgenetics/article?id=10.1371/journal.pgen.1003485,The Genome Organization of Thermotoga maritima Reflects Its Lifestyle,,3 - doesn't seem like supplementary material is sufficient but article says all the right things. Not E. coli or S. cerevisiae. Project Thermotoga on aledb.,Thermotoga maritima,haploid,,,,,,"table of genome annotation, alternative start sites,",,
8,,http://www.g3journal.org/content/6/6/1535.abstract,Genomic Signatures of Experimental Adaptation to Antimicrobial Peptides in Staphylococcus aureus,,3 - Looks like they may have the data but it isn't provided in a format that is of use to us. Not E. coli or S. cerevisiae,Staphylococcus aureus,,,,,,,,,B2
16,,https://jb.asm.org/content/200/17/e00216-18.short,The OmpR Regulator of Burkholderia multivorans Controls Mucoid-to-Nonmucoid Transition and Other Cell Envelope Properties Associated with Persistence in the Cystic Fibrosis Lung,,"3 - May need to contact for genome sequencing data, SI lists this website as a resource for more information: http://kerrlab.org/Public/RugLand, however only led to R code? Not E. coli or S. cerevisiae.",Bkhourlderia multivorans,,,,,,,,,B2
17,,https://mra.asm.org/content/4/2/e00262-16.short,"Complete Genome Sequence of Bacillus subtilis Strain CU1050, Which Is Sensitive to Phage SPβ",,"3 - No access to suplementary information, will need to email author Joseph L. Graves Jr. : gravesjl@ncat.edu. Not E. coli or S. cerevisiae.",Bacillus subtilis,,,,,,,,,B2
20,,https://search.proquest.com/openview/79144d90daaa7d23cca723b29ee2622d/1?pq-origsite=gscholar&cbl=18750&diss=y,Composition of gut microbiota affects C. jejuni-mediated inflammation and autoimmunity in murine models,,"3 - No frequncies, they did whole genome sequencing but information is not provided, may have to contact to see if the information is actually there. Not E. coli or S. cerevisiae.",C. jejuni,,,,,,,,,B2
20,,https://scholarsbank.uoregon.edu/xmlui/handle/1794/24024,Experimental Evolution of a Bacterial Symbiont to its Host Environment,,3 - only provide data for most frequent mutations. Not E. coli or S. cerevisiae.,Aeromonas veronii,,,,,,,,,B2
21,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6365430/,Comparative Genome Analysis of Lactococcus lactis Indicates Niche Adaptation and Resolves Genotype/Phenotype Disparity,,"3 - Only provide frequencies that are greater than 0.2, but must have record of all frequencies somewhere? Not E. coli or S. cerevisiae.",Lactococcus lactis,,,,,,,,,B2
22,,https://core.ac.uk/download/pdf/84005771.pdf#page=65,Performance of Sporomusa species for the microbial electrosynthesis of acetate from CO2,,3 - Reference 39 might be a good lead. This article talks of ALE and WGS but doens't provide any frequency info. Not E. coli or S. cerevisiae.,Sporomusa ovata,,,,,,,,,B2
23,,https://journals.plos.org/plosgenetics/article?id=10.1371/journal.pgen.1007615&rev=1,Synonymous mutations make dramatic contributions to fitness when growth is limited by a weak-link enzyme,,3 - SI does not provide the inforrmation but article says all the right things. may have to contact them. Not E. coli or S. cerevisiae.,Salmonella enterica,,,,,,,,,B2
4,,https://www.sciencedirect.com/science/article/pii/S0888754314001840,Parallel evolution of small colony variants in Burkholderia cenocepacia biofilms,,3 - SI isn't provided but the relevent information should be there. Not E. coli or S. cerevisiae. ,Burkholderia cenocepacia,,,,,,,,,B2
10,,https://www.pnas.org/content/115/47/12000.short,Evolution of bidirectional costly mutualism from byproduct consumption,,3 - Need to see if SI has useable data. Not E. coli or S. cerevisiae.,S. enterica,,,,,,,,,B2
21,,https://escholarship.org/uc/item/056243b5,ALE Analytics: A Software Pipeline and Web Platform for the Analysis of Microbial Genomic Data from Adaptive Laboratory Evolution Experiments,,3 - looks like supplementary data is given in a coloured box plot that specifies if a mutation was in a population. Uses data from other experiments.,-,,,,,,,,,B2
21,,https://pubs.acs.org/doi/abs/10.1021/acsinfecdis.7b00135,Experimental Evolution of Diverse Strains as a Method for the Determination of Biochemical Mechanisms of Action for Novel Pyrrolizidinone Antibiotics,,3 - not E. coli or C. cerevisiae.,"Bacillus, Staphyloccocus, Enterococcus",,,,,,,,,B2
23,,https://academic.oup.com/nar/article/46/17/9236/5077598,Directed evolution of E. coli with lower-than-natural plasmid mutation rates,,3 - Whole genome sequencing done but no frequencies provided. Data publicly available but not in usable form.,-,,,,,,,,,B2
11,,https://academic.oup.com/gbe/article/9/5/1229/3770955,Genome Mutational and Transcriptional Hotspots Are Traps for Duplicated Genes and Sources of Adaptations,,"3 -""estimated frequencies"", "">50% frequencies"". RNA sequencing.",S. cerevisiae,,5,,,,,,,B2
18,,https://peerj.com/articles/5190/?utm_source=TrendMD&utm_campaign=PeerJ_TrendMD_0&utm_medium=TrendMD,Experimental evolution of UV resistance in a phage,,3 - ALE and whole genome sequencing but supplimentary information not in useful form.,-,,,,,,,,,B2
22,,https://repositories.lib.utexas.edu/handle/2152/63462,The impact of engineered design constraints upon bacteriophage T7 evolution,,"3 - ALE and whole genome sequencing but no freqencies. T7 phage was sequenced, not E. coli.",-,,,,,,,,,B2
23,,https://academic.oup.com/gbe/article/10/10/2614/5089235,Predicting Evolution of the Transcription Regulatory Network in a Bacteriophage,,"3 - Definitely have the data but don't think the SI provided is enough for analysis. WGS is for T7, not E. coli.",-,,,,,,,,,B2
21,,https://www.biorxiv.org/content/10.1101/387910v1.abstract,"Forecasting bacterial survival-success and adaptive evolution through multi-omics stress response-mapping, network analyses and machine learning",,3 - Species currently not considered for model,-,,,,,,,,,B2
7,,https://aem.asm.org/content/83/8/e03115-16.short,A Model for Designing Adaptive Laboratory Evolution Experiments,,3 - only 1 population,-,,,,,,,,,B2
22,,https://onlinelibrary.wiley.com/doi/full/10.1111/evo.13569,Antagonistic pleiotropy for carbon use is rare in new mutations,"Sane, 2018",3 - 1 population,E. coli,,"1, with 38 replicates",,,,,,,A & B2
11,,https://www.nature.com/articles/s41598-017-12395-3#MOESM1,Efficient engineering of chromosomal ribosome binding site libraries in mismatch repair proficient E. coli,"Oestrele, 2017",3 - No replicates.,E. coli,haploid,2,,,,,,,B2
5,,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0130639,The Molecular and Genetic Basis of Repeatable Coevolution between E. coli and Bacteriophage T3 in a Laboratory Microcosm,"Perry, 2015",3 - 1 population.,E. coli,haploid,,,,,,,,B2
,,https://www.sciencedirect.com/science/article/pii/S1096717618300636?via%3Dihub#ab0010,Adaptation to the coupling of glycolysis to toxic methylglyoxal production in tpiA deletion strains of E. coli requires synchronized and counterintuitive genetic changes,,"3 - Same data as ""Growth adaptation of gnd and sdhCB..."". Project CCK in aledb.",E. coli,haploid,,,,,,,,A 
,,https://www.sciencedirect.com/science/article/pii/S109671761830017X?via%3Dihub,Adaptive laboratory evolution resolves energy depletion to maintain high aromatic metabolite phenotypes in E. coli strains lacking the Phosphotransferase System,,"3 - Same data as ""Growth adaptation of gnd and sdhCB..."". Project CCK in aledb.",E.coli,haploid,,,,,,,,A 
22,,https://www.theses.fr/2016PA066692,Etude de l'émergence de la diversité d'E. coli in vivo par séquençage de génomes complets,,"3 - Duplicate of ""Study of the emergence..."".",E.coli,,,,,,,,,
25,,https://www.research-collection.ethz.ch/bitstream/handle/20.500.11850/185439/Dissertation_SSchmitt_23801_PDFA.pdf?sequence=1,From Archimedes to Fleming: Novel ultra-high-throughput screening strategies for directed evolution of vitamin production and novel antibiotics,"Schmitt, 2017",3 - Thesis. Give a coloured box-plot of when specific mutations are present in each population at what generation. Says TS1 has full list of mutations but no access. No WGS. Email: steven.schmitt@bsse.ethz.ch,-,,,,,,,,,
,,https://www.biorxiv.org/content/10.1101/327270v1,Model-driven design and evolution of non-trivial synthetic syntrophic pairs,"Lloyd, 2018",3 - Co-culture. Data is potentially there (Figure 4). Email:  afeist@ucsd.edu,E.coli,haploid,Three OptAux predicted auxotrophic strains,,,66,,no link to supplementary info.,,
16,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5658125/,Engineered bacteria function in the mammalian gut as long term live diagnostics of inflammation,"Riglar, 2017",3 -  evolution in mice,,,,,,,,,,
4,,https://www.nature.com/articles/ismej201769,Experimental evolution and the dynamics of adaptation and genome evolution in microbial populations,"Lenski, 2017",3 - review,E. coli,Haploid,> 12,> 60000,,,,,,
,,https://www-nature-com.uml.idm.oclc.org/articles/s41467-019-08888-6,Adaptive laboratory evolution of a genome-reduced E. coli,"Choe, 2019","3 - Project Genome-Reduced E. coli in aledb. Supp Data 2 - only 1 population, no replicates. Supp Data 3 - only 1 population. Supp Data 4 - only 2 populations. ",E. coli,,,,,,,,,
,,https://www.biorxiv.org/content/10.1101/227892v2,Cellular responses to reactive oxygen species can be predicted on multiple biological scales from molecular mechanisms,"Yang, 2018",3 - Re-sequencing done. Data should be present but not provided in SI. Table S1. Mutation data being filed for UCSD (as of 190523). Email: ruthersh@tx.technion.ac.il. Ruth Hershberg,E.coli,haploid,43,,,,,no link to supplementary info.,,
6,,https://journals.plos.org/plosbiology/article?id=10.1371/journal.pbio.2002731,Spontaneous mutation rate is a plastic trait associated with population density across domains of life,"Krasovec, 2017",3 - Only 2 populations. No frequencies.,E. coli,haploid,2,,,,"In the presence of increasing concentrations of the selective agent: WT P. aeruginosa spent media (12.5–35% (v/v)), 15 for the ΔpvdJ spent media (30–70% (v/v)), and 19 for pyocyanin (75–800 μM).",Table S3,,
,,https://www.frontiersin.org/articles/10.3389/fmicb.2018.01793/full,Growth Adaptation of gnd and sdhCB E. coli Deletion Strains Diverges From a Similar Initial Perturbation of the Transcriptome,"McCloskey, 2018",3 - Project CCK in aledb. Has frequencies. Data from paper link (https://www.frontiersin.org/articles/10.3389/fmicb.2018.01793/full). Some mutations don't have gene names. Data already used in McCloskey2018.,E.coli,haploid,"2 E. coli knockout strains, 3 populations each",,,,M9 minimal medium,"growth rate of strains, calculated concentrations, test statistic, p-value and q-value, locus location and length, mutation type and frequencies",,File name: McCloskey2018_3
21,,https://open.bu.edu/handle/2144/13715,Controlling microbial community dynamics through engineered metabolic dependencies,"Mee, 2015",3 - starting population is a mix of 14 E. coli variants,E.coli,haploid,"1 population of 14 E. coli variants, each auxotrophic for 1 designated amino acid.",650,,,M9 minimal media,,,
16,,https://www.biorxiv.org/content/10.1101/096206v1.abstract,Rampant Reverse Evolution towards Specialization in Commensal Bacteria Colonizing the Gut,"Sousa, 2016",3 - Mouse gut as environment. Email: igordo@igc.gulbenkian.pt ,E. coli,,,,,,,,,
5,,https://onlinelibrary.wiley.com/doi/abs/10.1111/mec.13851,Using long‐term experimental evolution to uncover the patterns and determinants of molecular evolution of an E. coli natural isolate in the streptomycin‐treated mouse gut,"Lescat, 2016",3- Thesis - mouse gut,E. coli,,,,,,,,,B2
6,,https://www.nature.com/articles/ncomms15589,"Time-programmable drug dosing allows the manipulation, suppression and reversal of antibiotic drug resistance in vitro","Yoshida, 2017",3 - No WGS.,E. coli,haploid,,,,,,,,B2
,,https://www.biorxiv.org/content/10.1101/310946v2,Enzyme promiscuity shapes evolutionary innovation and optimization,"Guzman, 2018",3 - 2 populations. Email: afeist@ucsd.edu,E.coli,haploid,,20,41,,"D-lyxose, D-2-deoxyribose, D-arabinose, m-tartrate, and monomethyl succinate",no link to supplementary info.,,A 
12,,https://genomebiology.biomedcentral.com/articles/10.1186/s13059-017-1223-1,Millstone: software for multiplex microbial genome analysis and engineering,"Goodman, 2017",3 - Resequenced Tenaillon2012 data. Email: gc@harvard.edu,E. coli,haploid,,,,,,,,B2
3,,https://www.frontiersin.org/articles/10.3389/fgene.2014.00468/full,Detecting rare structural variation in evolving microbial populations from new sequence junctions using breseq,"Deatherage, 2015",3 - Resequenced LTEE data. breseq. Can't access Data Sheet 1. Email: jbarrick@cm.utexas.edu,E. coli,haploid,,500 & 1000,,,,Data Sheet 1: Full details of all polymorphisms predicted by breseq ,,B2
,,https://science-sciencemag-org.uml.idm.oclc.org/content/332/6034/1190,Diminishing Returns Epistasis Among Beneficial Mutations Decelerates Adaptation,"Chou, 2011","3 - No WGS for E. coli. Project Epistasis in aledb, but data not useful (1 population). Email: cmarx@oeb.harvard.edu",E.coli,haploid,"8, 4 from each ancestor.",600,,,"15 mM methanol in 9.6 ml
of growth media. Incubated in a 30 °C shaking incubator at 225
rpm.","Table of Fitness and cell size of evolved isolates, Bacterial strains and plasmid constructs.",email sent 19.05.22,A 
21,,https://hal.archives-ouvertes.fr/hal-01577131/,EvoEvo Deliverable 1.6 : Analysis of phenotypic innovation (part 2),"Schneider, 2017","3 - ALE. No WGS, no breseq. Email: guillaume.beslon@liris.cnrs.fr",E. coli,haploid,24 - 12 LTEE (note that paper also evolved 1 clone per LTEE population) + 12 crp-depleted counterparts,500,,,minimal medium containing glucose & acetate,,,B2
16,,https://www.biorxiv.org/content/10.1101/249110v1.abstract,An evolutionary innovation is contingent on maintaining adaptive potential until competition subsides,"Leon, 2018",3 - No ALE. Email: jbarrick@cm.utexas.edu,E. coli,haploid,61 evolved strains. The strains were a mixed bag from different time points in LTEE populations. 20 new LTEE clones were also sequenced.,,,,,Table S1: Genome sequencing of E. coli isolates from the LTEE population.,,B2
3,,https://www.nature.com/articles/s41559-016-0010,Multicopy plasmids potentiate the evolution of antibiotic resistance in bacteria,"Millan, 2016",3 - Plasmid-induced evolution. Email:  alvaro.sanmillan@hrc.es,E. coli,haploid,41 - 11 (founder MG) + 11 (MG_blaTEM-1) + 19 (MG_pBGT).,16 days,,,"Test strains: LB with one quarter of the MIC of ceftazidime (CAZ) of each strain at 37 degree celcius. Control strains - same conditions, but w/o ceftazidime.",Supplementary Data 1 has mutation data.,"In MH's ""Papers-completed"", MH's folder has data file, but not analyzed in ""Master_Data"".",B2
,,https://mra-asm-org.uml.idm.oclc.org/content/ga/2/5/e00969-14.full.pdf,"Complete Genome Assembly of E. coli ATCC 25922, a Serotype O6 Reference Strain","Minogue, 2014",3 - No ALE.,E. coli,,,,,,,,"In MH's ""Papers-completed"", but not analyzed in ""Master_Data"".","Paper found in ""co-op/Papers-completed"", B2ut in neither A nor B2. Paper not found in ""co-op/data_in""???"
9,,https://onlinelibrary.wiley.com/doi/full/10.1111/eva.12397,Macrophage adaptation leads to parallel evolution of genetically diverse E. coli small‐colony variants with increased fitness in vivo and antibiotic collateral sensitivity,"Ramiro, 2016",3 - Founders are a 50:50 mixture. Email: rramiro@igc.gulbenkian.pt,E. coli,haploid,"6 independent populations, 12 clones sequenced (2 clones/population)",60-120 (used (60+120)/2 = 90 generations in analysis).,21,,10 ml RPMI at 37°C with 5% CO2. Presence of macrophages.,,"Data already in paper - extract that to ""original"". Different time points between populations (4, 5, & 8). Paper says 19 mutations, Table 1 counted 21 - potential Paper Error?",B2
25,,http://roderic.uv.es/handle/10550/56208,Unraveling the complex trait of low temperature adaptation in the wine yeast S. cerevisiae,,3 - 1 pop per strain,S. cerevisiae,,,,,,,,,B2
20,YES,https://www.nature.com/articles/s41598-019-38925-9,"Continuous culture of E. coli, under selective pressure by a novel antimicrobial complex, does not result in development of resistance","Tonoyan, 2019",3 - 1 pop/envir,E. coli,haploid,,20 days ~ 120,,,,,,B2
,Original data downloaded. Usable data file generated - single wide. Converted to long format & analyzed.,https://journals.plos.org/plosgenetics/article?id=10.1371/journal.pgen.1001186,"Genetic Basis of Growth Adaptation of E. coli after Deletion of pgi, a Major Metabolic Gene","Charusanti, 2010",3 - Same data as Long2017. Email:  bpalsson@ucsd.edu,E.coli,haploid,10 - aledb: https://aledb.org/mutations/?ale_experiment_id=69,50 days,53 (https://aledb.org/mutations/?ale_experiment_id=69),2 to 5 mutations arose during adaptation,glucose M9 minimal medium,"table of mutations detected in the clones from 9 of the 10 populations, whole genome sequencing to show mutation.","Paper says only 9 strains were sequenced (""Strain pgi_gluc9 was not sequenced""), but mutation data for all 10 were on aledb: https://aledb.org/mutations/?ale_experiment_id=69",A 
5,,https://www.nature.com/articles/ismej201683,Evidence for persistent and shared bacterial strains against a background of largely unique gut colonization in hospitalized premature infants,"Raveh-Sadka, 2016",3 - human hosts,E. coli,,,,,,,,,B2
3,,https://academic.oup.com/nar/article/44/4/e36/1852008#81967376,Transient overexpression of DNA adenine methylase enables efficient and mobile genome engineering with reduced off-target effects,"Lennen, 2015",3 - plasmids,E. coli,haploid,2 (omitted the mutS- dataset),5 days,,,M9 agar or M9 agar + 0.6 M NaCl.,File010 has breseq data.,"In MH's ""Papers-completed"", but not analyzed in ""Master_Data"". Omitted the mutS_pMA1 dataset (mutator).",B2
15,,https://aem.asm.org/content/84/12/e00197-18.short,Genomic and Transcriptomic Insights into How Bacteria Withstand High Concentrations of Benzalkonium Chloride Biocides,"Kim, 2018","3 - Mixed founder aliquot (""The 1% aliquot originated from an overnight culture grown from a single colony of each isolate"")",P. aeruginosa,haploid,2 founders x 3 reps,~ 320 (DP) & ~ 380 (DPB) - Fig 1,,,"LB, increasing BAC conc's, then no BAC once no growth observed in all BAC tubes. Stressor: BAC.",Table S1,,B2
,YES,https://journals.plos.org/plosbiology/article?id=10.1371/journal.pbio.1001490#s5,Parallel Evolutionary Dynamics of Adaptive Diversification in E. coli,"Herron, 2013",3 - < 3 pops per founder - 2 SS & 2 FS from each of 3 founder.,E.coli,haploid,3,1230,,,"37°C, liquid DMGA medium (Davis minimal medium supplemented with 250 mg/l glucose & 1323 mg/l sodium acetate trihydrate).",Table S1,"_ In ""data_in"", but unused by Margot.
_ SS = slow switcher. Diauxic switch from glu to acetate as C source slower than fast switcher (FS).
_ FS = Fast switcher.
_ TP = Time point, tindicating that the mutation is found at > 5% in one or more time point samples.",A 
1,"190626: copied to ""Ask, contact, & contacted"".",https://onlinelibrary-wiley-com.uml.idm.oclc.org/doi/abs/10.1002/bit.27004,Parallel experimental evolution reveals a novel repressive control of GalP on xylose fermentation in E. coli,"Kurgan, 2019",3 - 2 pops. Email: wangxuan@asu.edu,E. coli ATCC,haploid,2,~ 60 generations,,,AM1 medium (pH 7.0) supplemented w/ 10% xylose (w/v) and 100 mM potassium bicarbonate. Stressor: Xylose.,,,B6
4,"190626: copied to ""Ask, contact, & contacted"".",https://link.springer.com/article/10.1007/s00253-018-09588-9,Evolutionary engineering of E. coli for improved anaerobic growth in minimal medium accelerated lactate production,"Wang, 2019","3 - Only WGS of 3 time points, < 3 replicates Email: chentao@tju.edu.cn",E. coli K-12 (W3110),,3,1300,,,"M9 (2.5% glu (w/v), 37 °C, 200 rpm. After 132 gens: glu conc. increases to 5% (w/v)). Stressor: glucose.",,,B6
4,"190626: copied to ""Ask, contact, & contacted"".",https://www.biorxiv.org/content/biorxiv/early/2019/02/28/262691.full-text.pdf,Effect of environment on the evolutionary trajectories and growth characteristics of antibioticresistant E. coli mutants,"Hubbard, 2019",3 - 24h too short to count as ALE,E. coli 10129,haploid,3,,,,"Sub-inhibitory concentrations (4 µg/ml) of AMC in M9, ISO or LB broth. ",,,B6
